MID,PMID,Journal_name,JIF,Conclusion,Model_Name,Model_Type,AUC_value,AUC,Specificity,Sensitivity,Accuracy,Research_Type,Involved_Factors,Year,Year_value,Area,Country,Cancer_Type,Abstract
381,29538697,J Natl Cancer Inst,9.9,Such a tool could be used to target surveillance activities to those at highest predicted risk of developing melanoma over a median duration of 3.4 years.,the model to predict risk of invasive melanoma,Cox Proportional Hazards Regression,0.69,,,,,development,"Age, Sex, Tanning Ability, Moles At Age 21 Y, Hair Color, No. Of Previous Skin, Sunscreen Use When Outside",in recent 10 years,2018,Oceania,Australia,Melanoma,"Background: Risk stratification can improve the efficacy and cost-efficiency of screening programs for early detection of cancer. We sought to derive a risk stratification tool for melanoma that was suitable for the general population using only self-reported information.
Methods: We used melanoma risk factor information collected at baseline from QSKIN, a prospective cohort study of Queensland adults age 40 to 69 years at recruitment (n = 41 954). We examined two separate outcomes: 1) invasive melanomas and 2) all melanomas (invasive + in situ) obtained through data linkage to the cancer registry. We used stepwise Cox proportional hazards modeling to derive the risk models in a randomly selected two-thirds sample of the data set and assessed model performance in the remaining one-third validation sample.
Results: After a median follow-up of 3.4 years, 655 (1.6%) participants developed melanoma (257 invasive, 398 in situ). The prediction model for invasive melanoma included seven terms. At baseline, the strongest predictors of invasive melanoma were age, sex, tanning ability, number of moles at age 21 years, and number of skin lesions treated destructively. The model for ""all melanomas"" (ie, invasive and in situ) included five additional terms. Discrimination in the validation data set was high for both models (C-index = 0.69, 95% confidence interval [CI] = 0.62 to 0.76, and C-index = 0.72, 95% CI = 0.69 to 0.75, respectively), and calibration was acceptable.
Conclusions: Such a tool could be used to target surveillance activities to those at highest predicted risk of developing melanoma over a median duration of 3.4 years."
382,29538697,J Natl Cancer Inst,9.9,Such a tool could be used to target surveillance activities to those at highest predicted risk of developing melanoma over a median duration of 3.4 years.,the model to predict risk of any melanoma (invasive or in situ),Cox Proportional Hazards Regression,0.72,,,,,development,"Age, Sex, Ethnicity, Private Health Insurance, Tanning Ability, Moles At Age 21 Y, Hair Color, No. Of Previous Skin Lesions Destroyed, Family History Of Melanoma, Sunscreen Use When Outside, Past History Of Excisions, Skin Checks By A Doctor (past 3 Y)",in recent 10 years,2018,Oceania,Australia,Melanoma,"Background: Risk stratification can improve the efficacy and cost-efficiency of screening programs for early detection of cancer. We sought to derive a risk stratification tool for melanoma that was suitable for the general population using only self-reported information.
Methods: We used melanoma risk factor information collected at baseline from QSKIN, a prospective cohort study of Queensland adults age 40 to 69 years at recruitment (n = 41 954). We examined two separate outcomes: 1) invasive melanomas and 2) all melanomas (invasive + in situ) obtained through data linkage to the cancer registry. We used stepwise Cox proportional hazards modeling to derive the risk models in a randomly selected two-thirds sample of the data set and assessed model performance in the remaining one-third validation sample.
Results: After a median follow-up of 3.4 years, 655 (1.6%) participants developed melanoma (257 invasive, 398 in situ). The prediction model for invasive melanoma included seven terms. At baseline, the strongest predictors of invasive melanoma were age, sex, tanning ability, number of moles at age 21 years, and number of skin lesions treated destructively. The model for ""all melanomas"" (ie, invasive and in situ) included five additional terms. Discrimination in the validation data set was high for both models (C-index = 0.69, 95% confidence interval [CI] = 0.62 to 0.76, and C-index = 0.72, 95% CI = 0.69 to 0.75, respectively), and calibration was acceptable.
Conclusions: Such a tool could be used to target surveillance activities to those at highest predicted risk of developing melanoma over a median duration of 3.4 years."
383,29512502,Comput Methods Programs Biomed,4.9,The study results showed moderately high positive association between computed risk scores using the prior negative mammograms and the actual outcome of the image-detectable breast cancers in the next subsequent screening examinations.The study also demonstrated that quantitative analysis of the ipsilateral views of the mammograms enabled to provide useful information in predicting near-term breast cancer risk.,elastic net support vector machine (EnSVM),Support Vector Machine,0.737,,79.00%,60.40%,,development,Ipsilateral View Mammograms,in recent 10 years,2018,America,USA,Breast Cancer,"Purpose: To help improve efficacy of screening mammography and eventually establish an optimal personalized screening paradigm, this study aimed to develop and test a new near-term breast cancer risk prediction scheme based on the quantitative analysis of ipsilateral view of the negative screening mammograms.
Methods: The dataset includes digital mammograms acquired from 392 women with two sequential full-field digital mammography examinations. All the first (""prior"") sets of mammograms were interpreted as negative during the original reading. In the sequential (""current"") screening, 202 were proved positive and 190 remained negative/benign. For each pair of the ""prior"" ipsilateral mammograms, we adaptively fused the image features computed from two views. Using four different types of image features, we built four elastic net support vector machine (EnSVM) based classifiers. Then, the initial prediction scores form the 4 EnSVMs were combined to build a final artificial neural network (ANN) classifier that produces the final risk prediction score. The performance of the new scheme was evaluated by using a 10-fold cross-validation method and an assessment index of the area under the receiver operating characteristic curve (AUC).
Results: A total number of 466 features were initially extracted from each pair of ipsilateral mammograms. Among them, 51 were selected to build the EnSVM based prediction scheme. The AUC = 0.737 卤 0.052 was yielded using the new scheme. Applying an optimal operating threshold, the prediction sensitivity was 60.4% (122 of 202) and the specificity was 79.0% (150 of 190).
Conclusion: The study results showed moderately high positive association between computed risk scores using the ""prior"" negative mammograms and the actual outcome of the image-detectable breast cancers in the next subsequent screening examinations. The study also demonstrated that quantitative analysis of the ipsilateral views of the mammograms enabled to provide useful information in predicting near-term breast cancer risk."
384,29458155,Gastroenterology,25.7,"We used data from 2 large international consortia to develop CRC risk calculation models that included genetic and environmental factors along with family history.These determine risk of CRC and starting ages for screening with greater accuracy than the family history only model, which is based on the current screening guideline.These scoring systems might serve as a first step toward developing individualized CRC prevention strategies",,Logistic Regression,0.62-0.63,,,,,development,"Family History, 19 Lifestyle And Environmental Factors (e-score), And 63 Crc-associated Singlenucleotide Polymorphisms",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background & aims: Guidelines for initiating colorectal cancer (CRC) screening are based on family history but do not consider lifestyle, environmental, or genetic risk factors. We developed models to determine risk of CRC, based on lifestyle and environmental factors and genetic variants, and to identify an optimal age to begin screening.
Methods: We collected data from 9748 CRC cases and 10,590 controls in the Genetics and Epidemiology of Colorectal Cancer Consortium and the Colorectal Transdisciplinary study, from 1992 through 2005. Half of the participants were used to develop the risk determination model and the other half were used to evaluate the discriminatory accuracy (validation set). Models of CRC risk were created based on family history, 19 lifestyle and environmental factors (E-score), and 63 CRC-associated single-nucleotide polymorphisms identified in genome-wide association studies (G-score). We evaluated the discriminatory accuracy of the models by calculating area under the receiver operating characteristic curve values, adjusting for study, age, and endoscopy history for the validation set. We used the models to project the 10-year absolute risk of CRC for a given risk profile and recommend ages to begin screening in comparison to CRC risk for an average individual at 50 years of age, using external population incidence rates for non-Hispanic whites from the Surveillance, Epidemiology, and End Results program registry.
Results: In our models, E-score and G-score each determined risk of CRC with greater accuracy than family history. A model that combined both scores and family history estimated CRC risk with an area under the receiver operating characteristic curve value of 0.63 (95% confidence interval, 0.62-0.64) for men and 0.62 (95% confidence interval, 0.61-0.63) for women; area under the receiver operating characteristic curve values based on only family history ranged from 0.53 to 0.54 and those based only E-score or G-score ranged from 0.59 to 0.60. Although screening is recommended to begin at age 50 years for individuals with no family history of CRC, starting ages calculated based on combined E-score and G-score differed by 12 years for men and 14 for women, for individuals with the highest vs the lowest 10% of risk.
Conclusions: We used data from 2 large international consortia to develop CRC risk calculation models that included genetic and environmental factors along with family history. These determine risk of CRC and starting ages for screening with greater accuracy than the family history only model, which is based on the current screening guideline. These scoring systems might serve as a first step toward developing individualized CRC prevention strategies."
385,29422418,Eur Urol Focus,4.8,"Incorporation of PCA3 into the PCPTRC improved validation on an independent cohort, whereas T2:ERG offered negligible utility in addition to PCA3",,Bayesian,0.771,,,,,development,"Prostate Specific Antigen, Dre, Age, African-american Race, History Of A Prior Negative Biopsy, And First-degree Family History Of Prostate Cancer, Pca3 And T2:erg",in recent 10 years,2019,America,USA,Prostate Cancer,"Background: The Prostate Cancer Prevention Trial Risk Calculator (PCPTRC) is a commonly used risk tool for predicting the outcome on biopsy based on the established risk factors.
Objective: To determine whether incorporation of the novel urinary markers prostate cancer antigen 3 (PCA3) and TMPRSS2:ERG (T2:ERG) into the PCPTRC improves its discrimination, accuracy, and clinical net benefit.
Design, setting, and participants: Since PCA3 and T2:ERG were not measured as part of the PCPTRC, a Bayesian modeling approach was used to combine data where the markers were measured in a Michigan cohort with the PCPTRC as prior probabilities to form an updated PCPTRC. This update was compared to the existing PCPTRC on an independent Early Detection Research Network cohort in terms of discrimination, calibration, and decision curve analysis.
Results and limitations: Among the 1225 Michigan biopsies, 57.7%, 24.0%, and 18.3% were negative, with low- and high-grade (Gleason grade鈮7) prostate cancer, respectively. Evaluated on the Early Detection Research Network validation set comprising 854 biopsies, areas under the curve (95% confidence interval) for predicting high-grade cancer in the 854 biopsies comprising the validation set were 70.0% (66.0-74.0%), 76.4% (72.8-80.0%), and 77.1% (73.6-80.6%) for the PCPTRC alone, with PCA3 added, and PCA3 and T2:ERG added, respectively. Net benefit was improved for the updated PCPTRC, while calibration was not. Limitations are that the updated PCPTRC is based on two different cohorts, the PCPT and Michigan, and that 20% of the validation set came from the Michigan center. More validation is required; hence, the updated risk tool is posted online.
Conclusions: Incorporation of PCA3 into the PCPTRC improved validation on an independent cohort, whereas T2:ERG offered negligible utility in addition to PCA3.
Patient summary: After passing external validation, prostate cancer antigen 3 has been added to the online Prostate Cancer Prevention Trial Risk Calculator for use by patients in deciding whether to proceed to biopsy. TMPRSS2:ERG did not improve prediction on the external validation set, but is included for further validation."
386,29412152,Cancer Lett,9.1,Our diagnostic nomogram provides a useful tool for assessing the cancer risk of pulmonary lesions identified in CT screening test.,,Nomograms,0.713-0.901,more than 0.8,,,,development,"Tumor Size, Cea, Scc, Cyfra21-1, Pro-grp, And He4",in recent 10 years,2018,Asia,China,Lung Cancer,"Purpose: This study aimed to build a valid diagnostic nomogram for assessing the cancer risk of the pulmonary lesions identified by chest CT.
Patients and methods: A total of 691 patients with pulmonary lesions were recruited from three centers in China. The cut-off value for each tumor marker was confirmed by minimum P value method with 1000 bootstrap replications. The nomogram was based on the predictive factors identified by univariate and multivariate analysis. The predictive performance of the nomogram was measured by concordance index and calibrated with 1000 bootstrap samples to decrease the overfit bias. We also evaluated the net benefit of the nomogram via decision curve analysis. Finally, the nomogram was validated externally using a separate cohort of 305 patients enrolled from two additional institutions.
Results: The cut-off for CEA, SCC, CYFRA21-1, pro-GRP, and HE4 was 4.8 ng/mL, 1.66 ng/mL, 1.83 ng/mL, 56.55 pg/mL, and 63.24Lpmol/L, respectively. Multivariate logistic regression model (LRM) identified tumor size, CEA, SCC, CYFRA21-1, pro-GRP, and HE4 as independent risk factors for lung cancer. The nomogram based on LRM coefficients showed concordance index of 0.901 (95% CI: 0.842-0.960; P < 0.001) for lung cancer in the training set and 0.713 (95% CI: 0.599-0.827; P < 0.001) in the validation set. Decision curve analysis reported a net benefit of 87.6% at 80% threshold probability superior to the baseline model.
Conclusion: Our diagnostic nomogram provides a useful tool for assessing the cancer risk of pulmonary lesions identified in CT screening test."
387,29395798,Acad Radiol,3.8,"Our results suggest that informative interactions between patterns exist in texture feature maps derived from mammographic images, which can be extracted and summarized via a multichannel CNN architecture toward leveraging the associations of textural measurements to breast cancer risk.",,Convolutional Neural Networks,0.9,more than 0.8,0.98,0.81,,development,"Gray-level Histogram, Co-occurrence, Run-length, And Structural Features",in recent 10 years,2018,America,USA,Breast Cancer,"Rationale and objectives: We evaluate utilizing convolutional neural networks (CNNs) to optimally fuse parenchymal complexity measurements generated by texture analysis into discriminative meta-features relevant for breast cancer risk prediction.
Materials and methods: With Institutional Review Board approval and Health Insurance Portability and Accountability Act compliance, we retrospectively analyzed ""For Processing"" contralateral digital mammograms (GE Healthcare 2000D/DS) from 106 women with unilateral invasive breast cancer and 318 age-matched controls. We coupled established texture features (histogram, co-occurrence, run-length, structural), extracted using a previously validated lattice-based strategy, with a multichannel CNN into a hybrid framework in which a multitude of texture feature maps are reduced to meta-features predicting the case or control status. We evaluated the framework in a randomized split-sample setting, using the area under the curve (AUC) of the receiver operating characteristic (ROC) to assess case-control discriminatory capacity. We also compared the framework to CNNs directly fed with mammographic images, as well as to conventional texture analysis, where texture feature maps are summarized via simple statistical measures that are then used as inputs to a logistic regression model.
Results: Strong case-control discriminatory capacity was demonstrated on the basis of the meta-features generated by the hybrid framework (AUC = 0.90), outperforming both CNNs applied directly to raw image data (AUC = 0.63, P <.05) and conventional texture analysis (AUC = 0.79, P <.05).
Conclusions: Our results suggest that informative interactions between patterns exist in texture feature maps derived from mammographic images, which can be extracted and summarized via a multichannel CNN architecture toward leveraging the associations of textural measurements to breast cancer risk."
388,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Colditz et al, 2000",Expert Consensus,0.56,,,,,validation,"Body Mass Index Fh Alcohol Physical Activity Red Meat Aspirin/ Nsaids Vegetables, Height, Hrt, Birth Control Pills. Multivitamin Use, Ibd, Saturated Fat, Calcium And Vitamin D Supplement",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
389,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Driver et al, 2007",Logistic Regression,0.67,,,,,validation,"Age, Sex, Ethnicity Body Mass Index Fh Smoking Physical Activity Aspirin/ Nsaids",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
390,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Freedman et al, 2009",Logistic Regression,0.64,,,,,validation,"Age Sex Ethnicity Body Mass Index Fh Smoking Physical Activity Aspirin/ Nsaids, Vegetables, Previous Sigmoidoscopy Or Colonoscopy, Previous Polyps",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
391,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Freedman et al, 2009",Logistic Regression,0.59,,,,,validation,"Age Sex Ethnicity Body Mass Index Fh Physical Activity Aspirin/ Nsaids, Vegetables, Previous Sigmoidoscopy Or Colonoscopy, Previous Polyps, Oestrogen Use",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
392,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Guesmi et al, 2010",Logistic Regression,0.65,,,,,validation,"Age, Processed Meat, Milk",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
393,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Ma et al, 2010",Cox Regression,0.69,,,,,validation,"Age, Sex, Body Mass Index Smoking Alcohol Physical Activity,",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
394,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Ma et al, 2010",Simple Score,0.68,,,,,validation,"Age, Sex, Body Mass Index Smoking Alcohol Physical Activity,",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
395,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Tao et al, 2014",Logistic Regression,0.69,,,,,validation,"Age, Sex, Fh Smoking Alcohol Red Meat Aspirin/ Nsaid, Previous Polyp, Previous Colonoscopy",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
396,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Wei Y-S et al, 2009",Logistic Regression,0.51,,,,,validation,Body Mass Index Fh Smoking Alcohol,in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
397,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Hippisley-Cox and Coupland, 2015 (QCancer10)",Cox Proportional Hazards Regression,0.7,,,,,validation,"Age Sex Ethnicity Body Mass Index Fh Smoking Alcoho, Deprivation, Blood Cancer, Ulcerative Colitis, Lung Cancer, Oral Cancer, Polyps, Diabetes",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
398,29381683,Br J Cancer,6.4,Several risk models based on easily obtainable data have relatively good discrimination in a UK population.Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening.,"Hippisley-Cox and Coupland, 2015 (QCancer10)",Cox Proportional Hazards Regression,0.66,,,,,validation,"Age Sex Ethnicity Fh Smoking Alcoho, Breast Cancer, Cervical Cancer, Ulcerative Colitis, Ovarian Cancer, Polyps, Diabetes, Uterine Cancer",in recent 10 years,2018,America,USA,Colorectal Cancer,"Background: This study aimed to compare and externally validate risk scores developed to predict incident colorectal cancer (CRC) that include variables routinely available or easily obtainable via self-completed questionnaire.
Methods: External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up, no prior history of CRC and data for incidence of CRC through linkage to national cancer registries.
Results: There were 1719 (0.46%) cases of incident CRC. The performance of the risk models varied substantially. In men, the QCancer10 model and models by Tao, Driver and Ma all had an area under the receiver operating characteristic curve (AUC) between 0.67 and 0.70. Discrimination was lower in women: the QCancer10, Wells, Tao, Guesmi and Ma models were the best performing with AUCs between 0.63 and 0.66. Assessment of calibration was possible for six models in men and women. All would require country-specific recalibration if estimates of absolute risks were to be given to individuals.
Conclusions: Several risk models based on easily obtainable data have relatively good discrimination in a UK population. Modelling studies are now required to estimate the potential health benefits and cost-effectiveness of implementing stratified risk-based CRC screening."
